question_key,kind,question_en,question_ar,answer_letter,answer_en,answer_ar,category,points
Q1,single,"A new opportunity appears but the details are fuzzy. You:","تظهر فرصة جديدة لكن تفاصيلها غير واضحة. أنت:",A,"Picture where it could go in five years","تتخيّل إلى أين قد تصل خلال خمس سنوات",VISION,3
Q1,single,"A new opportunity appears but the details are fuzzy. You:","تظهر فرصة جديدة لكن تفاصيلها غير واضحة. أنت:",B,"Map the first three concrete steps","ترسم أول ثلاث خطوات عملية",EXECUTION,3
Q1,single,"A new opportunity appears but the details are fuzzy. You:","تظهر فرصة جديدة لكن تفاصيلها غير واضحة. أنت:",C,"Just dive in and figure it out","تبدأ فورًا وتكتشف الطريق",RISK,2
Q1,single,"A new opportunity appears but the details are fuzzy. You:","تظهر فرصة جديدة لكن تفاصيلها غير واضحة. أنت:",D,"Call people who've done it before","تتصل بمن جرّبوها من قبل",PEOPLE,2
Q2,single,"Your team is stuck on a hard problem. Your instinct is to:","فريقك عالق في مشكلة صعبة. غريزتك أن:",A,"Invent an approach nobody tried yet","تبتكر أسلوبًا لم يجرّبه أحد",INNOVATION,3
Q2,single,"Your team is stuck on a hard problem. Your instinct is to:","فريقك عالق في مشكلة صعبة. غريزتك أن:",B,"Break it into a checklist and grind","تقسّمها إلى قائمة وتنجزها",EXECUTION,2
Q2,single,"Your team is stuck on a hard problem. Your instinct is to:","فريقك عالق في مشكلة صعبة. غريزتك أن:",C,"Rally everyone and split the work","تحفّز الجميع وتوزّع العمل",PEOPLE,2
Q2,single,"Your team is stuck on a hard problem. Your instinct is to:","فريقك عالق في مشكلة صعبة. غريزتك أن:",D,"Bet on a bold shortcut","تراهن على اختصار جريء",RISK,2
Q3,binary,"Would you rather launch something imperfect now, or perfect it first?","هل تفضّل إطلاق شيء غير مكتمل الآن، أم إتقانه أولًا؟",A,"Launch now, learn fast","أطلق الآن وتعلّم بسرعة",RISK,3
Q3,binary,"Would you rather launch something imperfect now, or perfect it first?","هل تفضّل إطلاق شيء غير مكتمل الآن، أم إتقانه أولًا؟",B,"Perfect it first","أتقنه أولًا",EXECUTION,2
Q4,single,"What energizes you most about building something?","ما الذي يحمّسك أكثر في بناء شيء ما؟",A,"The big idea and the what-if","الفكرة الكبيرة وماذا لو",VISION,3
Q4,single,"What energizes you most about building something?","ما الذي يحمّسك أكثر في بناء شيء ما؟",B,"Making it actually work","جعله يعمل فعلًا",EXECUTION,3
Q4,single,"What energizes you most about building something?","ما الذي يحمّسك أكثر في بناء شيء ما؟",C,"Doing it differently than everyone","فعله بشكل مختلف عن الجميع",INNOVATION,3
Q4,single,"What energizes you most about building something?","ما الذي يحمّسك أكثر في بناء شيء ما؟",D,"Getting people excited to join","إثارة حماس الناس للانضمام",PEOPLE,3
Q5,single,"A startup you admire just raised millions. Your first thought:","شركة ناشئة تعجبك جمعت ملايين للتو. أول ما يخطر ببالك:",A,"What unmet need did they spot?","ما الحاجة غير الملبّاة التي اكتشفوها؟",VISION,3
